bats,height,person,source,thorws,throws,weight
,,_subject,data/morris/1915SouthAtlantic/MaconTelegraph/1,,Right,
,,_subject,data/morris/1915SouthAtlantic/MaconTelegraph/2,,Left,
R,73.0,Aaron_Tommie_Lee,data/mcconnell/McConnell,,R,200.0
R,71.0,Abbott_Morrison_Harold,data/mcconnell/McConnell,,R,190.0
R,68.0,Abreu_Joseph_Lawrence,data/mcconnell/McConnell,,R,160.0
R,68.0,Adair_Marion_Danne,data/mcconnell/McConnell,,R,190.0
R,65.5,Adams_Earl_John,data/mcconnell/McConnell,,R,151.0
R,72.0,Adams_Elvin_Clark,data/mcconnell/McConnell,,R,180.0
R,70.0,Adams_Robert_Henry,data/mcconnell/McConnell,,R,170.0
L,73.0,Aderholt_Morris_Woodrow,data/mcconnell/McConnell,,R,188.0
R,,Adlam_James_A,data/mcconnell/McConnell,,R,
R,71.0,Agee_Tommie_Lee,data/mcconnell/McConnell,,R,105.0
L,74.0,Agganis_Harry,data/mcconnell/McConnell,,L,200.0
R,70.0,Aguilar_Enrique,data/mcconnell/McConnell,,R,183.0
R,71.0,Ainsmith_Edward_Wilbur,data/mcconnell/McConnell,,R,180.0
R,70.5,Ala_Aurelio,data/mcconnell/McConnell,,R,200.0
R,73.5,Aleno_Charles,data/mcconnell/McConnell,,R,215.0
R,75.0,Alexander_David_Dale,data/mcconnell/McConnell,,R,210.0
L,69.0,Allington_William_Baird,data/mcconnell/McConnell,,R,160.0
L,72.0,Almada_Baldomero_Melo,data/mcconnell/McConnell,,L,170.0
L,69.0,Almada_Louis_Joseph,data/mcconnell/McConnell,,L,175.0
R,72.0,Alotta_Phillip,data/mcconnell/McConnell,,R,175.0
L,76.0,Altman_George_Lee,data/mcconnell/McConnell,,R,200.0
R,,Altman_Joseph,data/mcconnell/McConnell,,R,
R,71.0,Alvis_Roy_Maxwell,data/mcconnell/McConnell,,R,187.0
R,73.5,Ananias_Nicholas_Thomas,data/mcconnell/McConnell,,R,178.0
R,68.0,Anderson_Andrew_Albert,data/mcconnell/McConnell,,R,155.0
R,,Anderson_Cyrus,data/mcconnell/McConnell,,R,
L,75.0,Anderson_Harry_Walter,data/mcconnell/McConnell,,R,210.0
R,,Anderson_John_Donald,data/mcconnell/McConnell,,R,
S,74.0,Anderson_John_Joseph,data/mcconnell/McConnell,,R,180.0
R,69.5,Anderson_John_Maurice,data/mcconnell/McConnell,,R,174.0
R,72.0,Anderson_Starling_W,data/mcconnell/McConnell,,R,175.0
L,68.0,Angley_Thomas_Samuel,data/mcconnell/McConnell,,R,190.0
L,73.0,Ankoviak_William_E,data/mcconnell/McConnell,,L,185.0
R,71.0,Antonello_William_James,data/mcconnell/McConnell,,R,185.0
R,71.5,Arlett_Alexander_Benjamin,data/mcconnell/McConnell,,R,168.0
L,78.0,Arlitt_Adolph,data/mcconnell/McConnell,,L,230.0
R,70.0,Arnovich_Morris,data/mcconnell/McConnell,,R,168.0
L,,Askland_Frank,data/mcconnell/McConnell,,,
L,73.5,Atkins_Ralph,data/mcconnell/McConnell,,L,175.0
R,68.0,Attyd_Leonard_Francis,data/mcconnell/McConnell,,R,145.0
R,69.0,Atz_John_Jacob,data/mcconnell/McConnell,,R,150.0
S,67.5,Austin_James_Philip,data/mcconnell/McConnell,,R,155.0
R,70.0,Avila_Roberto_Francisco,data/mcconnell/McConnell,,R,175.0
L,70.0,Babe_Loren_Rolland,data/mcconnell/McConnell,,R,180.0
L,72.0,Badgro_Morris_Hiram,data/mcconnell/McConnell,,R,190.0
L,74.0,Bailey_Lonas_Edgar,data/mcconnell/McConnell,,R,205.0
R,72.0,Bailey_Robert_Sherwood,data/mcconnell/McConnell,,R,188.0
R,74.0,Baker_Johnnie_B,data/mcconnell/McConnell,,R,187.0
R,75.0,Balaz_John_Lawrence,data/mcconnell/McConnell,,R,180.0
R,67.0,Balcena_Robert_Rudolph,data/mcconnell/McConnell,,L,160.0
R,71.0,Banks_George_Edward,data/mcconnell/McConnell,,R,185.0
,,Bannon_George,data/mcconnell/McConnell,,R,
,,Bannon_William,data/mcconnell/McConnell,,R,
L,71.0,Barber_Tyrus_Turner,data/mcconnell/McConnell,,R,170.0
R,72.0,Barisoff_William,data/mcconnell/McConnell,,R,175.0
L,72.0,Barker_Raymond_Herrell,data/mcconnell/McConnell,,R,192.0
L,70.5,Barnes_Emile_Deering,data/mcconnell/McConnell,,R,158.0
R,68.5,Barnes_Roscoe_Charles,data/mcconnell/McConnell,,R,145.0
