caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,lf,,morris/General/1914OwensboroMessengerInquirer/8,,player,
,Owensboro,1913,,Kentucky-Illinois-Tennessee,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/8,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,p,,morris/General/1914OwensboroMessengerInquirer/9,,player,
,Owensboro,1913,,Kentucky-Illinois-Tennessee,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/9,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,1b,,morris/General/1914OwensboroMessengerInquirer/10,,player,
,Columbus,1913,,Cotton States,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/10,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,cf,,morris/General/1914OwensboroMessengerInquirer/11,,player,
,Owensboro,1913,,Kentucky-Illinois-Tennessee,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/11,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,1b,,morris/General/1914OwensboroMessengerInquirer/12,,player,
,Owensboro,1913,,Kentucky-Illinois-Tennessee,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/12,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,c,,morris/General/1914OwensboroMessengerInquirer/13,,player,
,Owensboro,1913,,Kentucky-Illinois-Tennessee,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/13,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,2b,,morris/General/1914OwensboroMessengerInquirer/14,,player,
,Bonham,1913,,Texas-Oklahoma,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/14,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,ss,,morris/General/1914OwensboroMessengerInquirer/15,,player,
semi-pro,,1913,,,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/15,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,c,,morris/General/1914OwensboroMessengerInquirer/16,,player,
semi-pro,,1913,,,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/16,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,ss,,morris/General/1914OwensboroMessengerInquirer/17,,player,
semi-pro,,1913,,,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/17,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,p,,morris/General/1914OwensboroMessengerInquirer/18,,player,
semi-pro,,1913,,,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/18,,player,
,Ownesboro,1914,,Kentucky-Illinois-Tennessee,,_subject,,cf,,morris/General/1914OwensboroMessengerInquirer/19,,player,
semi-pro,,1913,,,,_subject,,,,morris/General/1914OwensboroMessengerInquirer/19,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/1,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/2,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/3,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/4,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/5,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/6,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/7,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/8,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/9,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/10,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/11,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/12,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/13,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/14,,player,
,Mason City,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/15,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/16,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/17,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/18,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/19,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/20,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/21,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/22,,player,
,Marshalltown,1916,,Central Association,,_subject,,,,morris/General/1916DailyGateCity/23,,player,
,Yakima,1921,,Pacific Coast International,,1,,,,blau/blau-20161218,,player,
,Yakima,1920,,Pacific Coast International,,1,,,,blau/blau-20161218,,player,
,Yakima,1921,,Pacific Coast International,,10002,,,,blau/blau-20161218,,player,
,Tacoma,1921,,Pacific Coast International,,10003,,,,blau/blau-20161218,,player,
,Aberdeen,1921,,Dakota,,10004,,,,blau/blau-20161218,,player,
,New Haven,1923,,Eastern,,2,,,,blau/blau-20161218,,player,
,Scranton,1923,,New York-Pennsylvania,,2,,,,blau/blau-20161218,,player,
,Enid,1920,,Western Association,,10007,,,,blau/blau-20161218,,player,
,Seattle,1918,,Pacific Coast International,,3,,,,blau/blau-20161218,,player,
,Seattle,1919,,Pacific Coast,,3,,,,blau/blau-20161218,,player,
,San Francisco,1919,,Pacific Coast,,3,,,,blau/blau-20161218,,player,
,Vancouver,1922,,Western International,,4,,,,blau/blau-20161218,,player,
,Seattle,1922,,Pacific Coast,,4,,,,blau/blau-20161218,,player,
,Nashville,1922,,Southern Association,,4,,,,blau/blau-20161218,,player,
,Seattle,1923,,Pacific Coast,,10014,,,,blau/blau-20161218,,player,
,Hazleton,1930,,New York-Pennsylvania,,10015,,,,blau/blau-20161218,,player,
,Kitchener,1922,,Michigan-Ontario,,10016,,,,blau/blau-20161218,,player,
,Port Huron-Sarnia,1922,,Michigan-Ontario,,10017,,,,blau/blau-20161218,,player,
,Port Huron-Sarnia,1922,,Michigan-Ontario,,5,,,,blau/blau-20161218,,manager,
,Port Huron,1921,,Michigan-Ontario,,5,,,,blau/blau-20161218,,player,
,Port Huron-Sarnia,1922,,Michigan-Ontario,,5,,,,blau/blau-20161218,,player,
,Wilson,1920,,Virginia,,10021,,,,blau/blau-20161218,,player,
,Rock Island,1920,,I-I-I,,6,,,,blau/blau-20161218,,player,
,Sioux City,1921,,Western,,6,,,,blau/blau-20161218,,player,
,Danville,1921,,Piedmont,,7,,,,blau/blau-20161218,,player,
,Spartanburg,1921,,South Atlantic,,7,,,,blau/blau-20161218,,player,
,Charlotte,1921,,South Atlantic,,7,,,,blau/blau-20161218,,player,
,Charlotte,1920,,South Atlantic,,7,,,,blau/blau-20161218,,player,
,Danville,1921,,Piedmont,,8,,,,blau/blau-20161218,,player,
,Danville,1922,,Piedmont,,8,,,,blau/blau-20161218,,player,
,Durham,1922,,Piedmont,,8,,,,blau/blau-20161218,,player,
,Greensboro,1920,,Piedmont,,10031,,,,blau/blau-20161218,,player,
,St. Joseph,1919,,Western,,10032,,,,blau/blau-20161218,,player,
,Petersburg,1920,,Virginia,,10033,,,,blau/blau-20161218,,player,
,Sioux Falls,1921,,Dakota,,10034,,,,blau/blau-20161218,,player,
,Aberdeen,1921,,Dakota,,10035,,,,blau/blau-20161218,,player,
,Greenville,1920,,South Atlantic,,9,,,,blau/blau-20161218,,player,
,Hamilton,1921,,Michigan-Ontario,,9,,,,blau/blau-20161218,,player,
,Hamilton,1919,,Michigan-Ontario,,9,,,,blau/blau-20161218,,player,
,Okmulgee,1922,,Western Association,,10,,,,blau/blau-20161218,,player,
,Emporia,1924,,Southwestern,,10,,,,blau/blau-20161218,,player,
,Enid,1921,,Western Association,,11,,,,blau/blau-20161218,,player,
,Spingfield,1921,,Western Association,,11,,,,blau/blau-20161218,,player,
,McAlester,1922,,Western Association,,11,,,,blau/blau-20161218,,player,
,Oklahoma City,1921,,Western,,11,,,,blau/blau-20161218,,player,
,Ardmore,1922,,Texas-Oklahoma,,11,,,,blau/blau-20161218,,player,
,Decatur,1922,,I-I-I,,11,,,,blau/blau-20161218,,player,
,Muskogee,1922,,Southwestern,,11,,,,blau/blau-20161218,,player,
,Enid,1924,,Southwestern,,10048,,,,blau/blau-20161218,,player,
,Enid,1921,,Southwestern,,10049,,,,blau/blau-20161218,,manager,
,McAlester,1922,,Western Association,,10050,,,,blau/blau-20161218,,player,
,Newark,1924,,International,,1,,,,blau/blau-20161225,,player,
,Buffalo,1928,,International,,1,,,,blau/blau-20161225,,player,
,Calgary,1921,,Western Canada,,1,,,,blau/blau-20161225,,player,
,Calgary,1920,,Western Canada,,1,,,,blau/blau-20161225,,player,
,Seattle,1920,,Pacific Coast,,1,,,,blau/blau-20161225,,player,
,Joplin,1922,,Western,,10005,,,,blau/blau-20161225,,player,
,Tacoma,1922,,Western International,,10006,,,,blau/blau-20161225,,player,
,Calgary,1922,,Western International,,10007,,,,blau/blau-20161225,,player,
,Little Rock,1922,,Southern Association,,10008,,,,blau/blau-20161225,,player,
,High Point,1920,,Piedmont,,2,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,2,,,,blau/blau-20161225,,player,
,Durham,1920,,Piedmont,,10011,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,10012,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,10013,,,,blau/blau-20161225,,player,
,Providence,1909,,Eastern,,3,,,,blau/blau-20161225,,player,
,Worcester,1909,,New England,,3,,,,blau/blau-20161225,,player,
,Fall River,1907,,New England,,3,,,,blau/blau-20161225,,player,
,Danville,1921,,Piedmont,,10017,,,,blau/blau-20161225,,player,
,Raleigh,1921,,Piedmont,,4,,,,blau/blau-20161225,,player,
,High Point,1920,,Piedmont,,4,,,,blau/blau-20161225,,player,
,Durham,1922,,Piedmont,,10020,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,5,,,,blau/blau-20161225,,player,
,Saskatoon,1921,,Western Canada,,5,,,,blau/blau-20161225,,player,
,Spartanburg,1920,,South Atlantic,,6,,,,blau/blau-20161225,,player,
,Winston-Salem,1922,,Piedmont,,6,,,,blau/blau-20161225,,player,
,Spartanburg,1919,,South Atlantic,,6,,,,blau/blau-20161225,,player,
,,1921,,Florida State,,6,,,,blau/blau-20161225,,player,
,Moose Jaw,1920,,Western Canada,,7,,,,blau/blau-20161225,,player,
,Dallas,1921,,Texas,,7,,,,blau/blau-20161225,,player,
,Ranger,1920,,Southwest Texas,,8,,,,blau/blau-20161225,,player,
,Ardmore,1921,,Texas-Oklahoma,,8,,,,blau/blau-20161225,,player,
,Tacoma,1920,,Pacific Coast International,,10031,,,,blau/blau-20161225,,player,
,St. Joseph,1920,,Western,,9,,,,blau/blau-20161225,,player,
,Joplin,1921,,Western,,9,,,,blau/blau-20161225,,player,
,Brantford,1921,,Michigan-Ontario,,10034,,,,blau/blau-20161225,,player,
,Independence,1922,,Southwestern,,10,,,,blau/blau-20161225,,player,
,Kansas City,1922,,American Association,,10,,,,blau/blau-20161225,,player,
,Charlotte,1922,,South Atlantic,,10037,,,,blau/blau-20161225,,player,
,Winston-Salem,1922,,Piedmont,,10038,,,,blau/blau-20161225,,player,
,Columbia,1927,,South Atlantic,,10039,,,,blau/blau-20161225,,player,
,Springfield,1924,,Western Association,,11,,,,blau/blau-20161225,,player,
,,1924,,Oklahoma State,,11,,,,blau/blau-20161225,,player,
,Bartlesville,1922,,Southwestern,,11,,,,blau/blau-20161225,,player,
,Fort Smith,1921,,Western Association,,11,,,,blau/blau-20161225,,player,
,Arkansas City,1926,,Southwestern,,11,,,,blau/blau-20161225,,manager,
,Cambridge,1924,,Eastern Shore,,10045,,,,blau/blau-20161225,,player,
,Grand Rapids,1920,,Central,,10046,,,,blau/blau-20161225,,player,
,Joplin,1921,,Western,,10047,,,,blau/blau-20161225,,player,
,Henryetta,1921,,Western Association,,12,,,,blau/blau-20161225,,player,
,Rochester,1922,,International,,12,,,,blau/blau-20161225,,player,
,Little Rock,1920,,Southern Association,,10050,,,,blau/blau-20161225,,player,
,Winston-Salem,1921,,Piedmont,,13,,,,blau/blau-20161225,,player,
,Charlotte,1921,,South Atlantic,,13,,,,blau/blau-20161225,,player,
,Spartanburg,1922,,South Atlantic,,13,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,10054,,,,blau/blau-20161225,,player,
,Greensboro,1920,,Piedmont,,14,,,,blau/blau-20161225,,player,
,Greensboro,1921,,Piedmont,,14,,,,blau/blau-20161225,,player,
,Raleigh,1920,,Piedmont,,15,,,,blau/blau-20161225,,player,
,Raleigh,1921,,Piedmont,,15,,,,blau/blau-20161225,,player,
,Rocky Mount,1920,,Virginia,,10059,,,,blau/blau-20161225,,player,
,Waynesboro,1922,,Blue Ridge,,10060,,,,blau/blau-20161225,,player,
,Rocky Mount,1920,,Virginia,,16,,,,blau/blau-20161225,,player,
,Martinsburg,1922,,Blue Ridge,,16,,,,blau/blau-20161225,,player,
,Rocky Mount,1922,,Virginia,,10063,,,,blau/blau-20161225,,player,
,Hamilton,1922,,Michigan-Ontario,,17,,,,blau/blau-20161225,,player,
,Reading,1921,,International,,17,,,,blau/blau-20161225,,player,
,Hamilton,1921,,Michigan-Ontario,,17,,,,blau/blau-20161225,,player,
,Hamilton,1922,,Michigan-Ontario,,17,,,,blau/blau-20161225,,player,
,Reading,1923,,International,,17,,,,blau/blau-20161225,,player,
,Kalamazoo,1923,,Michigan-Ontario,,17,,,,blau/blau-20161225,,player,
,Moose Jaw,1920,,Western Canada,,18,,,,blau/blau-20161225,,player,
,Jackson,1911,,Southern Michigan,,18,,,,blau/blau-20161225,,player,
,Toledo,1912,,American Association,,18,,,,blau/blau-20161225,,player,
,Cedartown,1920,,Georgia State,,10073,,,,blau/blau-20161225,,player,
,Cedartown,1920,,Georgia State,,10074,,,,blau/blau-20161225,,player,
,San Angelo,1921,,West Texas,,19,,,,blau/blau-20161225,,player,
,Beaumont,1921,,Texas,,19,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,20,,,,blau/blau-20161225,,player,
,Rockford,1920,,I-I-I,,20,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,21,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,21,,,,blau/blau-20161225,,player,
,Little Rock,1920,,Southern Association,,10081,,,,blau/blau-20161225,,player,
,Greenville,1924,,Southern Association,,10082,,,,blau/blau-20161225,,player,
,Greenville,1923,,Southern Association,,22,,,,blau/blau-20161225,,player,
,Columbia,1922,,Southern Association,,22,,,,blau/blau-20161225,,player,
,Bloomington,1921,,I-I-I,,22,,,,blau/blau-20161225,,player,
,Evansville,1920,,I-I-I,,22,,,,blau/blau-20161225,,player,
,Tacoma,1920,,Pacific Coast International,,10087,,,,blau/blau-20161225,,player,
,Charleston,1920,,South Atlantic,,10088,,,,blau/blau-20161225,,player,
,Portsmouth,1920,,Virginia,,23,,,,blau/blau-20161225,,player,
,Rochester,1921,,International,,23,,,,blau/blau-20161225,,player,
,Muskegon,1920,,Central,,24,,,,blau/blau-20161225,,player,
,Chicago,1920,,American,,24,,,,blau/blau-20161225,,player,
,Nashville,1920,,Southern Association,,10093,,,,blau/blau-20161225,,player,
,Moose Jaw,1920,,Western Canada,,10094,,,,blau/blau-20161225,,player,
,High Point,1920,,Piedmont,,10095,,,,blau/blau-20161225,,player,
,Durham,1920,,Piedmont,,10096,,,,blau/blau-20161225,,player,
,Mitchell,1920,,South Dakota,,10097,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,25,,,,blau/blau-20161225,,player,
,Rockford,1920,,I-I-I,,25,,,,blau/blau-20161225,,player,
,Madison,1920,,South Dakota,,10100,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,10101,,,,blau/blau-20161225,,player,
,Bartow,1920,,Florida State,,26,,,,blau/blau-20161225,,player,
,Chattanooga,1920,,Southern Association,,26,,,,blau/blau-20161225,,player,
,Yakima,1920,,Pacific Coast International,,27,,,,blau/blau-20161225,,player,
,Vernon,1920,,Pacific Coast,,27,,,,blau/blau-20161225,,player,
,Yakima,1920,,Pacific Coast International,,10106,,,,blau/blau-20161225,,player,
,Victoria,1920,,Pacific Coast International,,10107,,,,blau/blau-20161225,,player,
,Mineral Wells,1920,,West Texas,,28,,,,blau/blau-20161225,,player,
,Toledo,1920,,American Association,,28,,,,blau/blau-20161225,,player,
,Sioux Falls,1920,,South Dakota,,29,,,,blau/blau-20161225,,player,
,Sioux Falls,1921,,Dakota,,29,,,,blau/blau-20161225,,player,
,Chicago,1921,,National,,29,,,,blau/blau-20161225,,player,
,Wessington Springs,1920,,South Dakota,,30,,,,blau/blau-20161225,,player,
,Minneapolis,1920,,American Association,,30,,,,blau/blau-20161225,,player,
,Griffin,1920,,Georgia State,,31,,,,blau/blau-20161225,,player,
,Sarasota,1926,,Florida State,,31,,,,blau/blau-20161225,,player,
,Sarasota,1927,,Florida State,,31,,,,blau/blau-20161225,,player,
,Sarasota,1926,,Florida State,,31,,,,blau/blau-20161225,,manager,
,Sarasota,1927,,Florida State,,31,,,,blau/blau-20161225,,manager,
,Okmulgee,1920,,Western Association,,32,,,,blau/blau-20161225,,player,
,Kansas City,1920,,American Association,,32,,,,blau/blau-20161225,,player,
,Spokane,1920,,Pacific Coast International,,33,,,,blau/blau-20161225,,player,
,Kansas City,1920,,American Association,,33,,,,blau/blau-20161225,,player,
,Columbus,1920,,American Association,,34,,,,blau/blau-20161225,,player,
,Sioux Falls,1920,,Western,,34,,,,blau/blau-20161225,,player,
,Yakima,1920,,Pacific Coast International,,35,,,,blau/blau-20161225,,player,
,Vernon,1920,,Pacific Coast,,35,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10128,,,,blau/blau-20161225,,player,
,Newport News,1920,,Virginia,,10129,,,,blau/blau-20161225,,player,
,Norfolk,1920,,Virginia,,10130,,,,blau/blau-20161225,,player,
,Victoria,1920,,Pacific Coast International,,36,,,,blau/blau-20161225,,player,
,Seattle,1920,,Pacific Coast,,36,,,,blau/blau-20161225,,player,
,London,1920,,Michigan-Ontario,,37,,,,blau/blau-20161225,,player,
,Grand Rapids,1921,,Central,,37,,,,blau/blau-20161225,,player,
,Rock Island,1920,,I-I-I,,38,,,,blau/blau-20161225,,player,
,Indianapolis,1920,,American Association,,38,,,,blau/blau-20161225,,player,
,Victoria,1921,,Pacific Coast International,,39,,,,blau/blau-20161225,,player,
,Portland,1918,,Pacific Coast International,,39,,,,blau/blau-20161225,,player,
,Moline,1919,,I-I-I,,39,,,,blau/blau-20161225,,player,
,San Antonio,1922,,Texas,,39,,,,blau/blau-20161225,,player,
,Henryetta,1922,,Western Association,,10141,,,,blau/blau-20161225,,player,
,Henryetta,1922,,Western Association,,10142,,,,blau/blau-20161225,,player,
,Henryetta,1922,,Western Association,,10143,,,,blau/blau-20161225,,player,
,Springfield,1922,,Western Association,,10144,,,,blau/blau-20161225,,player,
,Springfield,1922,,Western Association,,10145,,,,blau/blau-20161225,,player,
,Fort Smith,1920,,Western Association,,40,,,,blau/blau-20161225,,player,
,San Antonio,1921,,Texas,,40,,,,blau/blau-20161225,,player,
,Oklahoma City,1920,,Western,,10148,,,,blau/blau-20161225,,player,
,Vancouver,1920,,Pacific Coast International,,10149,,,,blau/blau-20161225,,player,
,Vancouver,1920,,Pacific Coast International,,10150,,,,blau/blau-20161225,,player,
,Terre Haute,1921,,I-I-I,,41,,,,blau/blau-20161225,,player,
,Danville,1922,,I-I-I,,41,,,,blau/blau-20161225,,player,
,Vancouver,1920,,Pacific Coast International,,10153,,,,blau/blau-20161225,,player,
,Peoria,1920,,I-I-I,,10154,,,,blau/blau-20161225,,player,
,Clarksdale,1922,,Cotton States,,42,,,,blau/blau-20161225,,player,
,Durham,1920,,Piedmont,,42,,,,blau/blau-20161225,,player,
,Fort Smith,1921,,Western Association,,42,,,,blau/blau-20161225,,player,
,Petersburg,1920,,Virginia,,10158,,,,blau/blau-20161225,,player,
,Omaha,1917,,Western,,10159,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,10160,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,10161,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,43,,,,blau/blau-20161225,,player,
,Rock Island,1921,,I-I-I,,43,,,,blau/blau-20161225,,manager,
,Des Moines,1920,,Western,,43,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,10165,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,10166,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,44,,,,blau/blau-20161225,,player,
,,1917,,Virginia,,44,,,,blau/blau-20161225,,player,
,Petersburg,1917,,Virginia,,10169,,,,blau/blau-20161225,,player,
,Wichita,1917,,Western,,10170,,,,blau/blau-20161225,,player,
,Greensboro,1915,,North Carolina,,10171,,,,blau/blau-20161225,,player,
,Dover,1923,,Eastern Shore,,10172,,,,blau/blau-20161225,,player,
,Alexandria,1908,,Gulf Coast,,10173,,,,blau/blau-20161225,,player,
,Alexandria,1908,,Gulf Coast,,10174,,,,blau/blau-20161225,,player,
,Alexandria,1908,,Gulf Coast,,45,,,,blau/blau-20161225,,player,
,Macon,1904,,South Atlantic,,45,,,,blau/blau-20161225,,player,
,Alexandria,1907,,Gulf Coast,,45,,,,blau/blau-20161225,,player,
,Alexandria,1907,,Gulf Coast,,46,,,,blau/blau-20161225,,player,
,Little Rock,1907,,Southern Association,,46,,,,blau/blau-20161225,,player,
,Alexandria,1907,,Gulf Coast,,10180,,,,blau/blau-20161225,,player,
,Alexandria,1907,,Gulf Coast,,10181,,,,blau/blau-20161225,,player,
,Beckley,1932,,Middle Atlantic States,,10182,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10183,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10184,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10185,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10186,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10187,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10188,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,47,,,,blau/blau-20161225,,player,
,Enid,1920,,Western Association,,47,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10191,,,,blau/blau-20161225,,player,
,Springfield,1920,,Western Association,,10192,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10193,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10194,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,10195,,,,blau/blau-20161225,,player,
,Springfield,1921,,Western Association,,48,,,,blau/blau-20161225,,player,
,Peoria,1920,,I-I-I,,48,,,,blau/blau-20161225,,player,
,Tampa,1920,,Florida State,,10198,,,,blau/blau-20161225,,player,
,Regina,1921,,Western Canada,,49,,,,blau/blau-20161225,,player,
,Portland,1921,,Pacific Coast,,49,,,,blau/blau-20161225,,player,
,Regina,1921,,Western Canada,,10201,,,,blau/blau-20161225,,player,
,Joplin,1921,,Western,,50,,,,blau/blau-20161225,,player,
,Regina,1921,,Western Canada,,50,,,,blau/blau-20161225,,player,
,Joplin,1921,,Western,,51,,,,blau/blau-20161225,,player,
,Regina,1921,,Western Canada,,51,,,,blau/blau-20161225,,player,
,Danville,1921,,Piedmont,,10206,,,,blau/blau-20161225,,player,
,Danville,1920,,Piedmont,,52,,,,blau/blau-20161225,,player,
,Portsmouth,1921,,Virginia,,52,,,,blau/blau-20161225,,player,
,Kansas City,1920,,American Association,,53,,,,blau/blau-20161225,,player,
,St. Louis,1919,,National,,53,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,10211,,,,blau/blau-20161225,,player,
,Tulsa,1920,,Western,,54,,,,blau/blau-20161225,,player,
,Wichita,1920,,Western,,54,,,,blau/blau-20161225,,player,
,Aberdeen,1920,,South Dakota,,55,,,,blau/blau-20161225,,player,
,Aberdeen,1921,,Dakota,,55,,,,blau/blau-20161225,,player,
,Wessington Springs,1920,,South Dakota,,10216,,,,blau/blau-20161225,,player,
,Huron,1920,,South Dakota,,10217,,,,blau/blau-20161225,,player,
,Huron,1920,,South Dakota,,56,,,,blau/blau-20161225,,player,
,Omaha,1921,,Western,,56,,,,blau/blau-20161225,,player,
,Huron,1920,,South Dakota,,57,,,,blau/blau-20161225,,player,
,Omaha,1921,,Western,,57,,,,blau/blau-20161225,,player,
,Albany,1926,,Southeastern,,10222,,,,blau/blau-20161225,,player,
,Hattiesburg,1925,,Cotton States,,10223,,,,blau/blau-20161225,,player,
,San Antonio,1926,,Texas,,10224,,,,blau/blau-20161225,,player,
,Savannah,1928,,Southeastern,,58,,,,blau/blau-20161225,,player,
,Pittsburgh,1928,,National,,58,,,,blau/blau-20161225,,player,
,Mobile,1927,,Southern Association,,58,,,,blau/blau-20161225,,player,
,Laurel,1926,,Cotton States,,58,,,,blau/blau-20161225,,player,
,Grand Island,1913,,Nebraska State,,59,,,,blau/blau-20161225,,player,
,Hastings,1912,,Nebraska State,,59,,,,blau/blau-20161225,,player,
,Topeka,1913,,Western,,59,,,,blau/blau-20161225,,player,
,Keokuk,1914,,Central Association,,59,,,,blau/blau-20161225,,player,
,Keokuk,1915,,Central Association,,59,,,,blau/blau-20161225,,player,
,Mason City,1917,,Central Association,,59,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,59,,,,blau/blau-20161225,,player,
,Grand Island,1913,,Nebraska State,,60,,,,blau/blau-20161225,,player,
,Topeka,1913,,Western,,60,,,,blau/blau-20161225,,player,
,St. Joseph/Hutchinson,1917,,Western,,61,,,,blau/blau-20161225,,player,
,Mason City,1917,,Central Association,,61,,,,blau/blau-20161225,,player,
,Huron,1920,,South Dakota,,10240,,,,blau/blau-20161225,,player,
,Aberdeen,1921,,Dakota,,62,,,,blau/blau-20161225,,player,
,Aberdeen,1920,,South Dakota,,62,,,,blau/blau-20161225,,player,
,Kitchener,1920,,Michigan-Ontario,,10243,,,,blau/blau-20161225,,player,
,Waterbury,1920,,Eastern,,10244,,,,blau/blau-20161225,,player,
,Winston-Salem,1920,,Piedmont,,10245,,,,blau/blau-20161225,,player,
,Raleigh,1920,,Piedmont,,10246,,,,blau/blau-20161225,,player,
,Mitchell,1921,,Dakota,,10247,,,,blau/blau-20161225,,player,
,Peoria,1919,,I-I-I,,63,,,,blau/blau-20161225,,player,
,Joplin,1920,,Western,,63,,,,blau/blau-20161225,,player,
,Columbus,1920,,American Association,,63,,,,blau/blau-20161225,,player,
,Petersburg,1919,,Virginia,,10251,,,,blau/blau-20161225,,player,
,Memphis,1918,,Southern Association,,64,,,,blau/blau-20161225,,player,
,Augusta,1919,,South Atlantic,,64,,,,blau/blau-20161225,,player,
,Memphis,1920,,Southern Association,,64,,,,blau/blau-20161225,,player,
,Augusta,1919,,South Atlantic,,65,,,,blau/blau-20161225,,player,
,Spokane,1916,,Northwestern,,65,,,,blau/blau-20161225,,player,
,Oakland,1918,,Pacific Coast,,65,,,,blau/blau-20161225,,player,
,Tacoma,1916,,Northwestern,,65,,,,blau/blau-20161225,,player,
