caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Moline,1924,,Mississippi Valley League,,data/RSNJCJC,,,data/blau/blau-20171223,,player,,,,Harris,,Lefty,
,New Bedford,1908,,New England League,,data/SFFRBMV,,,data/blau/blau-20170122,,player,,Ben,Benjamin,Harrison,,,
,New Bedford,1909,,New England League,,data/SFFRBMV,,,data/blau/blau-20170122,,player,,Ben,Benjamin,Harrison,,,
,Macomb,1910,,Illinois-Missouri League,,data/HRWSYCJ,,,data/blau/blau-20170122,,player,,H.,,Harrison,,Happy,
,Sioux City,1921,,Western League,,data/CNKXWCJ,,,data/blau/blau-20170521,,player,,James,,Harrison,,,
,Shreveport,1923,,Texas League,,data/NLYNTDD,,,data/blau/blau-20170122,,player,,Harvey,,Harriss,,,
,Shreveport,1924,,Texas League,,data/NLYNTDD,,,data/blau/blau-20170122,,player,,Harvey,,Harriss,,,
,Omaha,1925,,Western League,,data/NLYNTDD,,,data/blau/blau-20170122,,player,,Harvey,,Harriss,,,
,McKeesport,1910,,Ohio-Pennsylvania League,,data/KWVYMGG,,,data/blau/blau-20170122,,player,,Dan,,Hart,,,
,Reading,1919,,International League,,data/XKYTXCK,,,data/blau/blau-20170416,,player,,Earl A.,Earl A.,Hart,,Nig,
,Mason City,1916,,Central Association,,data/WZPVTGX,,,data/blau/blau-20170122,,player,,Lee,,Hart,,,
,Columbus,1917,,South Atlantic League,,data/WZPVTGX,,,data/blau/blau-20170122,,player,,Lee,,Hart,,,
,Marion,1915,,Buckeye League,,data/GLNZNGD,,P,data/morris/1915Buckeye/LimaNews/68,,player,,Red,,Hart,,,
,Newark,1915,,Buckeye League,,data/GLNZNGD,,P,data/morris/1915Buckeye/LimaNews/68,,player,,Red,,Hart,,,
,Cairo,1914,,Kentucky-Illinois-Tennessee League,,data/BSGYXVM,,,data/morris/1915SouthAtlantic/ColumbusEnquirer/3,,player,,,,Hart,,,
,Columbus,1915,,South Atlantic League,,data/BSGYXVM,,OF,data/morris/1915SouthAtlantic/ColumbusEnquirer/3,,player,,,,Hart,,,
,New Haven,1932,,Eastern League,,data/YJGBFNW,,,data/blau/blau-20170416,,player,,,,Hart,,,
,E. Grand Forks,1933,,Northern League,,data/GCLZFWC,,,data/blau/blau-20170521,,player,,George,,Hartley,,,
,Grand Forks,1934,,Northern League,,data/GCLZFWC,,,data/blau/blau-20170521,,player,,George,,Hartley,,,
,Pottsville,1907,,Atlantic League,,data/TGYZFPL,,,data/blau/blau-20170122,,player,,Charles,,Hartman,,,
,Sioux City,1910,,Western League,,data/PKTKNVY,,,data/blau/blau-20170122,,player,,Charles,,Hartman,,Chick,
,Asheville,1912,,Appalachian League,,data/JWVJKXJ,,,data/morris/1915SouthAtlantic/ColumbusLedger/1,,player,,Harry,,Hartsell,,,
