caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Eau Claire,1958,,Northern League,,data/VGHQPQR,,OF-SS,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Eau Claire,1959,,Northern League,,data/VGHQPQR,,2B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Louisville,1960,,American Association,,data/VGHQPQR,,PH,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Cedar Rapids,1960,,Illinois-Indiana-Iowa League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Jacksonville,1960,,South Atlantic League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Austin,1961,,Texas League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1962,,National League,,data/VGHQPQR,,1B-OF-2B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1963,,National League,,data/VGHQPQR,,1B-OF-2B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Denver,1963,,Pacific Coast League,,data/VGHQPQR,,2B-1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Denver,1964,,Pacific Coast League,,data/VGHQPQR,,1B-2B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1965,,International League,,data/VGHQPQR,,2B-1B-OF-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Milwaukee,1965,,National League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1966,,International League,,data/VGHQPQR,,1B-OF-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1967,,International League,,data/VGHQPQR,,OF-1B-2B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1968,,National League,,data/VGHQPQR,,OF-1B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1969,,National League,,data/VGHQPQR,,1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1970,,National League,,data/VGHQPQR,,1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1971,,International League,,data/VGHQPQR,,3B-1B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Atlanta,1971,,National League,,data/VGHQPQR,,1B-3B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Richmond,1972,,International League,,data/VGHQPQR,,1B-3B-OF,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Savannah,1973,,Southern League,,data/VGHQPQR,,1B,data/mcconnell/McConnell,,playing,,Tommie,Tommie Lee,Aaron,,,
,Waycross,1949,,Georgia-Florida League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Thibodaux,1950,,Evangeline League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Thibodaux,1951,,Evangeline League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Miami Beach,1951,,Florida International League,,data/MSCBGGH,,OF,data/nemec/Nemec,,playing,,Ben,Bernard E.,Abadie,,,
,Henderson,1938,,East Texas League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,Tacoma,1939,,Western International League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,Tacoma,1940,,Western International League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,Tacoma,1941,,Western International League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,Tacoma,1942,,Western International League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,San Diego,1943,,Pacific Coast League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,San Diego,1944,,Pacific Coast League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,San Diego,1945,,Pacific Coast League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,Tacoma,1946,,Western International League,,data/HWLTNTN,,OF,data/mcconnell/McConnell,,playing,,Morry,Morrison Harold,Abbott,,,
,San Jose,1913,,California State League,,data/QMXNZBX,,,data/blau/blau-20171001,,player,,Ody,,Abbott,,,
,North Platte,1959,,Nebraska State League,,data/DKDGBTV,,OF,data/nemec/Nemec,,playing,,James,James Alfred,Abdella,,,
,Batavia,1959,,New York-Pennsylvania League,,data/DKDGBTV,,OF,data/nemec/Nemec,,playing,,James,James Alfred,Abdella,,,
,Selma,1960,,Alabama-Florida League,,data/DKDGBTV,,1B-OF,data/nemec/Nemec,,playing,,James,James Alfred,Abdella,,,
,Burlington/Wilson,1961,,Carolina League,,data/DKDGBTV,,1B,data/nemec/Nemec,,playing,,James,James Alfred,Abdella,,,
,Carlsbad,1961,,Sophomore League,,data/YFGJRGT,,P,data/nemec/Nemec,,playing,,Ed,Edward Ronald,Abel,,,
,St. Cloud,1962,,Northern League,,data/YFGJRGT,,P,data/nemec/Nemec,,playing,,Ed,Edward Ronald,Abel,,,
,San Antonio,1962,,Texas League,,data/YFGJRGT,,P,data/nemec/Nemec,,playing,,Ed,Edward Ronald,Abel,,,
,Harlan,1953,,Mountain States League,,data/CMJLKJR,,1B,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Lincolnton/Statesville,1953,,Tar Heel League,,data/CMJLKJR,,SS-OF-1B,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Oak Ridge,1954,,Mountain States League,,data/CMJLKJR,,SS,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Erie,1955,,PONY League,,data/CMJLKJR,,SS,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Missoula,1956,,Pioneer League,,data/CMJLKJR,,3B-1B-OF-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Missoula,1957,,Pioneer League,,data/CMJLKJR,,1B-OF,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Sanford,1959,,Florida State League,,data/CMJLKJR,,1B-2B-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Missoula,1959,,Pioneer League,,data/CMJLKJR,,1B-2B-OF-3B,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Wilson,1960,,Carolina League,,data/CMJLKJR,,1B,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Hickory,1960,,Western Carolina League,,data/CMJLKJR,,1B-OF-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Newton-Conover,1961,,Western Carolina League,,data/CMJLKJR,,OF-1B-3B-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Shelby,1962,,Western Carolina League,,data/CMJLKJR,,OF-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Statesville,1963,,Western Carolinas League,,data/CMJLKJR,,3B-P,data/nemec/Nemec,,playing,,Joe,Joe Ray,Abernethy,,,
,Oakland,1937,,Pacific Coast League,,data/GSNSHGP,,SS,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Spokane,1937,,Western International League,,data/GSNSHGP,,SS-3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Oakland,1938,,Pacific Coast League,,data/GSNSHGP,,OF-3B-SS,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Oakland,1939,,Pacific Coast League,,data/GSNSHGP,,3B-OF,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Fort Worth,1940,,Texas League,,data/GSNSHGP,,OF-SS-3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Milwaukee,1941,,American Association,,data/GSNSHGP,,2B-3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Fort Worth,1941,,Texas League,,data/GSNSHGP,,3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Newark,1942,,International League,,data/GSNSHGP,,OF,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Cincinnati,1942,,National League,,data/GSNSHGP,,3B-2B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Wellsville,1946,,Pennsylvania-Ontario-New York League,,data/GSNSHGP,,2B-3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Newnan,1947,,Georgia-Alabama League,,data/GSNSHGP,,2B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Dayton,1947,,Ohio State League,,data/GSNSHGP,,OF,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Tampa,1948,,Florida International League,,data/GSNSHGP,,3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Santa Rosa,1949,,Far West League,,data/GSNSHGP,,3B,data/mcconnell/McConnell,,playing,,Joseph,Joseph Lawrence,Abreu,,,
,Lockport,1943,,PONY League,,data/VTSMYYC,,3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Lockport,1944,,PONY League,,data/VTSMYYC,,3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Lockport,1945,,PONY League,,data/VTSMYYC,,OF,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Los Angeles,1945,,Pacific Coast League,,data/VTSMYYC,,3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Nashville,1945,,Southern Association,,data/VTSMYYC,,SS,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Shelby,1946,,Tri-State League,,data/VTSMYYC,,3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Hot Springs,1947,,Cotton States League,,data/VTSMYYC,,2B-SS,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Auburn,1948,,Border League,,data/VTSMYYC,,3B-2B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Fall River,1948,,New England League,,data/VTSMYYC,,3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Auburn,1949,,Border League,,data/VTSMYYC,,OF-2B-3B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Auburn,1950,,Border League,,data/VTSMYYC,,3B-2B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Saginaw,1951,,Central League,,data/VTSMYYC,,3B-2B,data/nemec/Nemec,,playing,,Tom,Thomas Joseph,Accardo,,,
,Norwich,1907,,Connecticut State League,,data/SBJVQFH,,,data/blau/blau-20170108,,player,,Victor,,Accorsini,,,
,Oakland,1932,,Pacific Coast League,,data/QBCKZVG,,,data/blau/blau-20170129,,player,,George,,Ackerman,,,
,Green Bay,1948,,Wisconsin State League,,data/HXFXCDT,,SS-3B,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Green Bay,1949,,Wisconsin State League,,data/HXFXCDT,,SS-2B,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,New Castle,1950,,Middle Atlantic League,,data/HXFXCDT,,OF-3B-SS,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Fayetteville,1953,,Carolina League,,data/HXFXCDT,,SS,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Charlotte,1953,,Tri-State League,,data/HXFXCDT,,2B-3B-SS,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Hagerstown,1954,,Piedmont League,,data/HXFXCDT,,SS-2B,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Rock Hill,1954,,Tri-State League,,data/HXFXCDT,,SS,data/nemec/Nemec,,playing,,Richard,Richard John,Ackermann,,,
,Jackson,1935,,East Dixie League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Jackson,1936,,Cotton States League,,data/TBYFDFQ,,SS,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Winston-Salem,1937,,Piedmont League,,data/TBYFDFQ,,SS,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Knoxville,1937,,Southern Association,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Elmira,1938,,Eastern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Winston-Salem,1938,,Piedmont League,,data/TBYFDFQ,,SS-2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Rocky Mount,1939,,Piedmont League,,data/TBYFDFQ,,SS,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Montgomery,1940,,Southeastern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Montgomery,1941,,Southeastern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Memphis,1942,,Southern Association,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Memphis,1946,,Southern Association,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Jackson,1947,,Southeastern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Memphis,1947,,Southern Association,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Jackson,1948,,Southeastern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Owensboro,1949,,Kitty League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Bluefield,1950,,Appalachian League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Eau Claire,1951,,Northern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Eau Claire,1952,,Northern League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,El Dorado,1953,,Cotton States League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,El Dorado,1954,,Cotton States League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Panama City,1955,,Alabama-Florida League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Valdosta,1956,,Georgia-Florida League,,data/TBYFDFQ,,2B,data/mcconnell/McConnell,,playing,,Bill,Marion Danne,Adair,,,
,Trenton,1949,,Inter-State League,,data/KSVTVGV,,P,data/nemec/Nemec,,playing,,Dick,Richard Charles,Adair,,,
,Sioux City,1950,,Western League,,data/KSVTVGV,,P,data/nemec/Nemec,,playing,,Dick,Richard Charles,Adair,,,
,Nashville,1952,,Southern Association,,data/KSVTVGV,,P,data/nemec/Nemec,,playing,,Dick,Richard Charles,Adair,,,
,Nashville,1953,,Southern Association,,data/KSVTVGV,,P,data/nemec/Nemec,,playing,,Dick,Richard Charles,Adair,,,
,Sioux City,1954,,Western League,,data/KSVTVGV,,P,data/nemec/Nemec,,playing,,Dick,Richard Charles,Adair,,,
,Andalusia-Opp,1954,,Alabama-Florida League,,data/VBLHVHK,,2B,data/nemec/Nemec,,playing,,John,John Leon,Adair,,,
,Vidalia,1954,,Georgia State League,,data/XRGTDSG,,P,data/nemec/Nemec,,playing,,Richard,Richard D.,Adam,,Red,
,Donalsonville,1955,,Alabama-Florida League,,data/XRGTDSG,,P,data/nemec/Nemec,,playing,,Richard,Richard D.,Adam,,Red,
,Vidalia,1955,,Georgia State League,,data/XRGTDSG,,P,data/nemec/Nemec,,playing,,Richard,Richard D.,Adam,,Red,
,Rocky Mount,1915,,Virginia League,,data/FXTCNYY,,P,data/morris/1915SouthAtlantic/ColumbiaRecord/62,,player,,Babe,Milton,Adams,,,
,Reading,1919,,International League,,data/KGDXJZH,,SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Danville,1920,,Piedmont League,,data/KGDXJZH,,SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Syracuse,1921,,International League,,data/KGDXJZH,,SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1922,,National League,,data/KGDXJZH,,2B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Wichita Falls,1922,,Texas League,,data/KGDXJZH,,3B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1923,,National League,,data/KGDXJZH,,SS-OF,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1924,,National League,,data/KGDXJZH,,SS-2B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1925,,National League,,data/KGDXJZH,,2B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1926,,National League,,data/KGDXJZH,,2B-3B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Chicago,1927,,National League,,data/KGDXJZH,,2B-3B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Pittsburgh,1928,,National League,,data/KGDXJZH,,2B-SS-OF,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Pittsburgh,1929,,National League,,data/KGDXJZH,,SS-2B-3B-OF,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,St. Louis,1930,,National League,,data/KGDXJZH,,3B-2B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,St. Louis,1931,,National League,,data/KGDXJZH,,3B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,St. Louis,1932,,National League,,data/KGDXJZH,,3B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,St. Louis/Cincinnati,1933,,National League,,data/KGDXJZH,,3B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Cincinnati,1934,,National League,,data/KGDXJZH,,3B-2B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Columbus,1935,,American Association,,data/KGDXJZH,,2B-SS,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Rochester,1935,,International League,,data/KGDXJZH,,3B-2B,data/mcconnell/McConnell,,playing,,Earl,Earl John,Adams,,Sparky,
,Springfield,1935,,Western Association,,data/MKXNYRF,,3B,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1936,,Pacific Coast League,,data/MKXNYRF,,OF-3B,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1937,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1938,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Columbus,1939,,American Association,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,St. Louis,1939,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1939,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Rochester,1940,,International League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1941,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Sacramento,1942,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,St. Louis/Philadelphia,1943,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Philadelphia,1944,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Philadelphia/St. Louis,1945,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,St. Louis,1946,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Philadelphia,1947,,National League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,San Diego,1948,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,San Diego,1949,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,San Diego,1950,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,San Diego/San Francisco,1951,,Pacific Coast League,,data/MKXNYRF,,OF,data/mcconnell/McConnell,,playing,,Elvin,Elvin Clark,Adams,,Buster,
,Mount Vernon,1948,,Illinois State League,,data/XHBBFYB,,C-3B,data/nemec/Nemec,,playing,,Gene,Elton Eugene,Adams,,,
,Bluefield,1949,,Appalachian League,,data/XHBBFYB,,,data/nemec/Nemec,,playing,,Gene,Elton Eugene,Adams,,,
,Owensboro,1949,,Kitty League,,data/XHBBFYB,,C,data/nemec/Nemec,,playing,,Gene,Elton Eugene,Adams,,,
,Big Stone Gap,1949,,Mountain States League,,data/XHBBFYB,,C-3B,data/nemec/Nemec,,playing,,Gene,Elton Eugene,Adams,,,
,Big Stone Gap,1950,,Mountain States League,,data/XHBBFYB,,C,data/nemec/Nemec,,playing,,Gene,Elton Eugene,Adams,,,
,Madisonville,1947,,Kitty League,,data/FXDVWMB,,OF-P,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Chicago,1948,,American League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Hot Springs,1948,,Cotton States League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Chicago,1949,,American League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Memphis,1949,,Southern Association,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Chicago,1950,,American League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Buffalo,1950,,International League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Indianapolis,1953,,American Association,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Springfield,1953,,International League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Columbus,1954,,American Association,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Los Angeles,1954,,Pacific Coast League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Columbus,1955,,International League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Houston,1955,,Texas League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Houston,1956,,Texas League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Houston,1957,,Texas League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Houston,1958,,Texas League,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Mobile,1959,,Southern Association,,data/FXDVWMB,,OF,data/nemec/Nemec,,playing,,Herb,Herbert Loren,Adams,,,
,Amarillo,1927,,Western League,,data/HDNLRLZ,,,data/blau/blau-20170205,,player,,Jack,,Adams,,,
,Denver,1928,,Western League,,data/HDNLRLZ,,,data/blau/blau-20170205,,player,,Jack,,Adams,,,
,Wenatchee,1965,,Northwest League,,data/PWXDRSH,,OF,data/nemec/Nemec,,playing,,Jim,James Byron,Adams,,,
,Caldwell,1965,,Pioneer League,,data/PWXDRSH,,OF,data/nemec/Nemec,,playing,,Jim,James Byron,Adams,,,
,Raleigh,1913,,North Carolina State League,,data/RRHWLSF,,,data/blau/blau-20170115,,player,,Mark,,Adams,,,
,Bridgeport,1913,,Eastern Association,,data/FXLDCFL,,,data/blau/blau-20170219,,player,,Quincy,,Adams,,,
,Raleigh,1913,,North Carolina State League,,data/FXLDCFL,,,data/blau/blau-20170219,,player,,Quincy,,Adams,,,
,Idaho Falls,1941,,Pioneer League,,data/HRPKJMY,,,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Amarillo,1941,,West Texas-New Mexico League,,data/HRPKJMY,,OF-2B,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Idaho Falls,1942,,Pioneer League,,data/HRPKJMY,,3B,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Fresno,1947,,California League,,data/HRPKJMY,,OF,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Santa Rosa/Reading,1949,,Far West League,,data/HRPKJMY,,OF-2B,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Eugene,1950,,Far West League,,data/HRPKJMY,,OF,data/nemec/Nemec,,playing,,Ray,Ramond Nathaniel,Adams,,,
,Sarasota Astros,1977,,Gulf Coast League,,data/VBTNKBC,,SS,data/nemec/Nemec,,playing,,Ricky,Ricky Lee,Adams,,,
,Daytona Beach,1978,,Florida State League,,data/VBTNKBC,,SS-2B,data/nemec/Nemec,,playing,,Ricky,Ricky Lee,Adams,,,
,Daytona Beach,1979,,Florida State League,,data/VBTNKBC,,2B,data/nemec/Nemec,,playing,,Ricky,Ricky Lee,Adams,,,
