date,height,meta,person,place,source,throws,weight
1915,,,_subject,"US, PA, Jenkintown",data/morris/1915NorthCarolinaState/CharlotteObserver/37,,
1915,,,_subject,"US, PA, Jenkintown",data/morris/1915NorthCarolinaState/CharlotteObserver/38,,
1915,,,_subject,"US, PA, Oxford",data/morris/1915NorthCarolinaState/CharlotteObserver/39,,
1915,,,_subject,"US, SC, Woodruff",data/morris/1915NorthCarolinaState/CharlotteObserver/40,,
1915,,,_subject,"US, VA, Martinsville",data/morris/1915NorthCarolinaState/CharlotteObserver/41,,
1915,,,_subject,"US, PA, Glenolden",data/morris/1915NorthCarolinaState/CharlotteObserver/42,,
1915,,,_subject,"US, NC, Charlotte",data/morris/1915NorthCarolinaState/CharlotteObserver/48,,
1915,,,_subject,"US, NC, Rutherford County",data/morris/1915NorthCarolinaState/CharlotteObserver/49,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915NorthCarolinaState/CharlotteObserver/52,,
1915,,,_subject,"US, SC, Greenville",data/morris/1915NorthCarolinaState/CharlotteObserver/54,,
1915,,,_subject,"US, NC, Durham",data/morris/1915NorthCarolinaState/DurhamMorningHerald/5,,
1915,,,_subject,"US, PA, Wilkes-Barre",data/morris/1915NorthCarolinaState/DurhamMorningHerald/6,,
1915,,,_subject,"US, NC, Aurora",data/morris/1915NorthCarolinaState/GreensboroDailyNews/11,,
1915,,,_subject,"US, VA, Hopewell",data/morris/1915NorthCarolinaState/HeraldOfGospelLiberty/1,,
1915,,,_subject,"US, WV, Huntington",data/morris/1915NorthCarolinaState/JaynesvilleDailyGazette/1,,
,,,_subject,"US, NC, Morganton",data/morris/1915NorthCarolinaState/MorgantonNewsHerald/1,,
1919,,,_subject,"US, WA, Hay",data/morris/1915NorthCarolinaState/MorgantonNewsHerald/1,,
1915,,,_subject,"US, NC, Oxford",data/morris/1915NorthCarolinaState/OxfordPublicLedger/1,,
1915,,,_subject,"US, NC, Wilson",data/morris/1915NorthCarolinaState/RaleighNewsObserver/4,,
1914,,,_subject,"US, PA, Harrisburg",data/morris/1915NorthCarolinaState/RaleighNewsObserver/7,,
1914,,,_subject,"US, NC, Kannapolis",data/morris/1915NorthCarolinaState/RandolphBulletin/1,,
1915,,,_subject,"US, NJ, Hightstown",data/morris/1915NorthCarolinaState/TrentonEveningTimes/1,,
1915,,,_subject,"US, MD, Baltimore",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/1,,
1915,,,_subject,"US, PA, Sayre",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/2,,
1915,,,_subject,"US, NC, High Point",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/3,,
1915,,,_subject,"US, VA, Big Stone Gap",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/10,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/12,,
1915,,,_subject,"US, MD, Baltimore",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/13,,
1915,,,_subject,"US, NJ, Jersey City",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/14,,
1915,,,_subject,"US, NY, Fort Slocumb",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/18,,
1915,,,_subject,"US, AL, Gadsden",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/21,,
1915,,,_subject,"US, NC, China Grove",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/33,,
1915,,,_subject,"US, NC, Winston-Salem",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/40,,
,74,,_subject,,data/morris/1915NorthCarolinaState/TwinCityDailySentinel/40,,157
1915,,,_subject,"US, MO, St. Louis",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/41,,
1915,,,_subject,"US, NC, Conover",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/42,,
1915,,,_subject,"US, NY,",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/45,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/46,,
1915,,,_subject,"US, MA, New Bedford",data/morris/1915NorthCarolinaState/TwinCityDailySentinel/47,,
1915,,,_subject,"US, NJ, Hightstown",data/morris/1915NorthCarolinaState/WilkesBarreRecord/1,,
1915,,,_subject,"US, OH, Cincinnati",data/morris/1915NorthCarolinaState/WilmingtonMorningStar/1,,
1915,,,_subject,"US, MO, St. Louis",data/morris/1915NorthCarolinaState/WinstonSalemJournal/10,,
